Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1522672613041318
Latino,Latino,STATEN ISLAND,Staten Island,0.0687552996435338
Black,Black,STATEN ISLAND,Staten Island,0.0751452007716248
Asian,Asian,STATEN ISLAND,Staten Island,0.1362216583905494
White,White,QUEENS,Queens,0.1214374962041756
Latino,Latino,QUEENS,Queens,0.057296021343108
Black,Black,QUEENS,Queens,0.0515895681372576
Asian,Asian,QUEENS,Queens,0.1161665331252235
White,White,MANHATTAN,Manhattan,0.1843516904341856
Latino,Latino,MANHATTAN,Manhattan,0.0896702701772704
Black,Black,MANHATTAN,Manhattan,0.0907632682978832
Asian,Asian,MANHATTAN,Manhattan,0.120357939478298
White,White,BROOKLYN,Brooklyn,0.1079032882117719
Latino,Latino,BROOKLYN,Brooklyn,0.0521166888755727
Black,Black,BROOKLYN,Brooklyn,0.0554572658185665
Asian,Asian,BROOKLYN,Brooklyn,0.0959877127781492
White,White,THE BRONX,Bronx,0.1654933125773198
Latino,Latino,THE BRONX,Bronx,0.0657954716360188
Black,Black,THE BRONX,Bronx,0.0762192340096121
Asian,Asian,THE BRONX,Bronx,0.1433769225985461
White,White,%all%,%all%,0.141594141677077
Latino,Latino,%all%,%all%,0.0652580196770924
Black,Black,%all%,%all%,0.0636234327168554
Asian,Asian,%all%,%all%,0.1138658017265959
