Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-03-31,3/31,39183,39183
2021-03-30,3/30,52692,52692
2021-03-29,3/29,57284,57284
2021-03-28,3/28,45736,45736
2021-03-27,3/27,76720,76720
2021-03-26,3/26,89814,89814
2021-03-25,3/25,92213,92213
2021-03-24,3/24,78586,78586
2021-03-23,3/23,69106,69106
2021-03-22,3/22,60188,60188
2021-03-21,3/21,47835,47835
2021-03-20,3/20,65496,65496
2021-03-19,3/19,79015,79015
2021-03-18,3/18,80554,80554
2021-03-17,3/17,69667,69667
2021-03-16,3/16,61734,61734
2021-03-15,3/15,53593,53593
2021-03-14,3/14,49074,49074
2021-03-13,3/13,69261,69261
2021-03-12,3/12,82608,82608
2021-03-11,3/11,82746,82746
2021-03-10,3/10,69851,69851
2021-03-09,3/9,57857,57857
2021-03-08,3/8,61515,61515
2021-03-07,3/7,55952,55952
2021-03-06,3/6,69619,69619
2021-03-05,3/5,85258,85258
2021-03-04,3/4,81348,81348
2021-03-03,3/3,63203,63203
2021-03-02,3/2,58174,58174
2021-03-01,3/1,50527,50527
2021-02-28,2/28,57325,57325
2021-02-27,2/27,72471,72471
2021-02-26,2/26,92092,92092
2021-02-25,2/25,82808,82808
2021-02-24,2/24,54537,54537
2021-02-23,2/23,38454,38454
2021-02-22,2/22,23945,23945
2021-02-21,2/21,23322,23322
2021-02-20,2/20,35915,35915
2021-02-19,2/19,35984,35984
2021-02-18,2/18,35657,35657
2021-02-17,2/17,37317,37317
2021-02-16,2/16,39858,39858
2021-02-15,2/15,22460,22460
2021-02-14,2/14,39176,39176
2021-02-13,2/13,51772,51772
2021-02-12,2/12,66889,66889
2021-02-11,2/11,59842,59842
2021-02-10,2/10,47785,47785
2021-02-09,2/9,44454,44454
2021-02-08,2/8,39469,39469
2021-02-07,2/7,19874,19874
2021-02-06,2/6,33346,33346
2021-02-05,2/5,46234,46234
2021-02-04,2/4,45407,45407
2021-02-03,2/3,36267,36267
2021-02-02,2/2,11814,11814
2021-02-01,2/1,6298,6298
2021-01-31,1/31,15581,15581
2021-01-30,1/30,21910,21910
2021-01-29,1/29,42549,42549
2021-01-28,1/28,41815,41815
2021-01-27,1/27,32441,32441
2021-01-26,1/26,26858,26858
2021-01-25,1/25,24017,24017
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18487,18487
2021-01-22,1/22,28469,28469
2021-01-21,1/21,33050,33050
2021-01-20,1/20,44768,44768
2021-01-19,1/19,42256,42256
2021-01-18,1/18,29061,29061
2021-01-17,1/17,25234,25234
2021-01-16,1/16,32288,32288
2021-01-15,1/15,32296,32296
2021-01-14,1/14,40714,40714
2021-01-13,1/13,40734,40734
2021-01-12,1/12,35621,35621
2021-01-11,1/11,32851,32851
2021-01-10,1/10,8768,8768
2021-01-09,1/9,9049,9049
2021-01-08,1/8,21768,21768
2021-01-07,1/7,21411,21411
2021-01-06,1/6,21399,21399
2021-01-05,1/5,15962,15962
2021-01-04,1/4,12948,12948
2021-01-03,1/3,3538,3538
2021-01-02,1/2,3801,3801
2021-01-01,1/1,161,161
2020-12-31,12/31,7226,7226
2020-12-30,12/30,12796,12796
2020-12-29,12/29,10674,10674
2020-12-28,12/28,10945,10945
2020-12-27,12/27,3832,3832
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7233,7233
2020-12-23,12/23,14215,14215
2020-12-22,12/22,9714,9714
2020-12-21,12/21,6265,6265
2020-12-20,12/20,1098,1098
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5759,5759
2020-12-17,12/17,4486,4486
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,76,76
