Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6625,6625
2020-12-17,12/17,11118,11118
2020-12-18,12/18,16902,16902
2020-12-19,12/19,18587,18587
2020-12-20,12/20,19691,19691
2020-12-21,12/21,25963,25963
2020-12-22,12/22,35679,35679
2020-12-23,12/23,49904,49904
2020-12-24,12/24,57139,57139
2020-12-25,12/25,57318,57318
2020-12-26,12/26,61666,61666
2020-12-27,12/27,65503,65503
2020-12-28,12/28,76448,76448
2020-12-29,12/29,87120,87120
2020-12-30,12/30,99915,99915
2020-12-31,12/31,107149,107149
2021-01-01,1/1,107313,107313
2021-01-02,1/2,111118,111118
2021-01-03,1/3,114659,114659
2021-01-04,1/4,127623,127623
2021-01-05,1/5,143643,143643
2021-01-06,1/6,165150,165150
2021-01-07,1/7,186586,186586
2021-01-08,1/8,208379,208379
2021-01-09,1/9,217464,217464
2021-01-10,1/10,226241,226241
2021-01-11,1/11,259145,259145
2021-01-12,1/12,294766,294766
2021-01-13,1/13,335566,335566
2021-01-14,1/14,376278,376278
2021-01-15,1/15,408636,408636
2021-01-16,1/16,440925,440925
2021-01-17,1/17,466170,466170
2021-01-18,1/18,495246,495246
2021-01-19,1/19,538460,538460
2021-01-20,1/20,582299,582299
2021-01-21,1/21,615359,615359
2021-01-22,1/22,643852,643852
2021-01-23,1/23,662341,662341
2021-01-24,1/24,672681,672681
2021-01-25,1/25,696700,696700
2021-01-26,1/26,723560,723560
2021-01-27,1/27,756020,756020
2021-01-28,1/28,797843,797843
2021-01-29,1/29,840423,840423
2021-01-30,1/30,862355,862355
2021-01-31,1/31,877965,877965
2021-02-01,2/1,884289,884289
2021-02-02,2/2,896238,896238
2021-02-03,2/3,932818,932818
2021-02-04,2/4,978552,978552
2021-02-05,2/5,1025115,1025115
2021-02-06,2/6,1058770,1058770
2021-02-07,2/7,1078784,1078784
2021-02-08,2/8,1118404,1118404
2021-02-09,2/9,1163003,1163003
2021-02-10,2/10,1210851,1210851
2021-02-11,2/11,1271208,1271208
2021-02-12,2/12,1339005,1339005
2021-02-13,2/13,1391174,1391174
2021-02-14,2/14,1430622,1430622
2021-02-15,2/15,1453133,1453133
2021-02-16,2/16,1493082,1493082
2021-02-17,2/17,1530455,1530455
2021-02-18,2/18,1566451,1566451
2021-02-19,2/19,1602798,1602798
2021-02-20,2/20,1639733,1639733
2021-02-21,2/21,1663339,1663339
2021-02-22,2/22,1687503,1687503
2021-02-23,2/23,1726067,1726067
2021-02-24,2/24,1781646,1781646
2021-02-25,2/25,1865162,1865162
2021-02-26,2/26,1958255,1958255
2021-02-27,2/27,2031339,2031339
2021-02-28,2/28,2089200,2089200
2021-03-01,3/1,2139821,2139821
2021-03-02,3/2,2198017,2198017
2021-03-03,3/3,2261265,2261265
2021-03-04,3/4,2343179,2343179
2021-03-05,3/5,2429288,2429288
2021-03-06,3/6,2499462,2499462
2021-03-07,3/7,2555764,2555764
2021-03-08,3/8,2617449,2617449
2021-03-09,3/9,2675522,2675522
2021-03-10,3/10,2745678,2745678
2021-03-11,3/11,2829510,2829510
2021-03-12,3/12,2913605,2913605
2021-03-13,3/13,2984592,2984592
2021-03-14,3/14,3034403,3034403
2021-03-15,3/15,3088250,3088250
2021-03-16,3/16,3150209,3150209
2021-03-17,3/17,3219987,3219987
2021-03-18,3/18,3300581,3300581
2021-03-19,3/19,3381450,3381450
2021-03-20,3/20,3448375,3448375
2021-03-21,3/21,3496489,3496489
2021-03-22,3/22,3559219,3559219
2021-03-23,3/23,3632531,3632531
2021-03-24,3/24,3714099,3714099
2021-03-25,3/25,3810081,3810081
2021-03-26,3/26,3905074,3905074
2021-03-27,3/27,3986642,3986642
2021-03-28,3/28,4046923,4046923
2021-03-29,3/29,4121289,4121289
2021-03-30,3/30,4204577,4204577
2021-03-31,3/31,4303071,4303071
2021-04-01,4/1,4414964,4414964
2021-04-02,4/2,4521137,4521137
2021-04-03,4/3,4605951,4605951
2021-04-04,4/4,4657610,4657610
2021-04-05,4/5,4740865,4740865
2021-04-06,4/6,4836356,4836356
2021-04-07,4/7,4938380,4938380
2021-04-08,4/8,5052418,5052418
2021-04-09,4/9,5164589,5164589
2021-04-10,4/10,5257300,5257300
2021-04-11,4/11,5319708,5319708
2021-04-12,4/12,5396943,5396943
2021-04-13,4/13,5471096,5471096
2021-04-14,4/14,5550404,5550404
2021-04-15,4/15,5635216,5635216
2021-04-16,4/16,5718402,5718402
2021-04-17,4/17,5782863,5782863
2021-04-18,4/18,5817769,5817769
2021-04-19,4/19,5859280,5859280
2021-04-20,4/20,5890423,5890423
